Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
197,,BAL,Batting 3rd,2006,176,95.7,162,730,654,103,184,36,0,22,93,10,2,55,81,.281,.344,.437,.781,286,24,11,3,7,6,8,.290,105,85
198,,HOU,Batting 3rd,2010,169,95.2,162,702,628,86,172,31,3,26,106,13,7,68,114,.274,.343,.457,.800,287,21,1,0,5,2,9,.296,139,95
199,,LAA,Batting 3rd,2008,185,95.2,162,710,621,85,168,36,3,22,100,8,2,69,99,.271,.344,.444,.789,276,19,7,1,12,14,6,.285,112,91
200,,WSN,Batting 3rd,2012,182,95.1,162,725,651,102,175,40,1,25,97,6,2,67,137,.269,.338,.449,.786,292,23,3,0,4,8,8,.304,110,94
201,,ARI,Batting 3rd,2008,198,94.3,162,715,642,83,184,42,4,13,69,11,1,59,99,.287,.350,.425,.775,273,22,6,4,4,5,6,.320,109,89
202,,KCR,Batting 3rd,2007,174,94.3,162,716,642,92,187,37,9,11,79,13,2,63,133,.291,.357,.428,.785,275,28,5,2,4,10,5,.351,121,86
203,,BOS,Batting 3rd,2015,183,94.2,162,730,664,87,195,38,0,16,93,3,2,60,114,.294,.351,.423,.774,281,24,1,1,4,8,7,.333,110,92
204,,PIT,Batting 3rd,2010,175,94.2,162,698,624,82,174,34,5,17,86,10,6,63,116,.279,.346,.431,.777,269,11,3,4,4,2,9,.317,129,90
205,,PHI,Batting 3rd,2012,170,93.9,162,724,632,93,166,32,5,16,77,22,3,70,98,.263,.344,.405,.749,256,13,13,1,8,8,2,.285,110,86
206,,TBD,Batting 3rd,2006,176,93.8,162,704,627,86,165,25,7,25,99,28,7,62,135,.263,.332,.445,.777,279,17,7,0,8,4,4,.295,112,83
207,,DET,Batting 3rd,2008,189,93.7,162,734,635,86,169,35,3,17,92,13,3,86,118,.266,.355,.411,.766,261,24,5,1,7,2,4,.300,97,87
208,,CHW,Batting 3rd,2011,203,93.4,162,723,612,77,149,36,0,25,101,3,4,83,138,.243,.347,.425,.772,260,14,19,0,9,11,4,.271,118,92
209,,SDP,Batting 3rd,2006,194,93.4,162,738,624,83,168,33,1,10,78,10,3,100,76,.269,.371,.373,.744,233,13,5,2,7,8,4,.290,101,79
210,,ATL,Batting 3rd,2015,180,93.3,162,699,613,79,170,33,1,15,82,6,1,74,123,.277,.362,.408,.770,250,15,9,0,3,4,8,.324,129,91
211,,LAD,Batting 3rd,2015,187,93.1,162,717,637,81,168,36,2,27,86,2,1,64,129,.264,.339,.454,.793,289,27,11,0,5,6,1,.290,114,95
212,,WSN,Batting 3rd,2007,166,93.1,162,724,655,99,174,43,5,24,91,4,1,61,125,.266,.329,.456,.785,299,26,3,0,5,3,7,.294,118,85
213,,PHI,Batting 3rd,2011,180,93.0,162,735,647,85,169,30,7,15,63,18,1,67,78,.261,.340,.399,.738,258,13,13,2,6,5,5,.275,106,85
214,,WSN,Batting 3rd,2008,171,92.9,161,725,657,87,179,34,2,24,82,9,3,52,114,.272,.330,.440,.770,289,21,8,0,8,1,10,.294,120,86
215,,SEA,Batting 3rd,2007,198,92.6,162,732,661,90,187,32,3,19,99,3,1,52,117,.283,.341,.427,.768,282,24,10,1,7,6,9,.316,102,82
216,,MIA,Batting 3rd,2013,167,92.5,162,711,612,83,149,31,1,24,62,8,0,91,171,.243,.346,.415,.761,254,14,6,0,2,4,9,.298,142,91
217,,SFG,Batting 3rd,2007,183,92.2,162,729,649,79,179,45,6,13,89,10,0,63,89,.276,.342,.424,.765,275,26,6,3,8,4,9,.299,116,82
218,,NYM,Batting 3rd,2015,192,92.1,162,727,656,85,168,46,3,24,82,3,1,55,129,.256,.321,.445,.766,292,17,10,1,5,8,2,.283,114,88
219,,OAK,Batting 3rd,2012,167,92.1,162,722,655,93,159,33,8,33,94,12,2,59,159,.243,.305,.469,.774,307,17,2,1,5,6,6,.269,115,88
220,,LAA,Batting 3rd,2014,186,92.0,162,729,663,92,181,37,1,28,110,6,1,50,75,.273,.324,.459,.783,304,28,5,1,10,12,11,.268,114,95
221,,LAA,Batting 3rd,2006,192,92.0,162,724,665,85,181,37,1,24,89,19,3,46,91,.272,.319,.439,.758,292,18,4,0,9,9,3,.281,99,78
222,,PHI,Batting 3rd,2014,173,91.7,162,727,650,85,173,40,6,13,81,12,1,54,102,.266,.330,.406,.736,264,9,13,0,10,12,8,.294,121,85
223,,WSN,Batting 3rd,2011,168,91.5,161,719,637,79,172,34,3,18,70,12,3,68,137,.270,.344,.418,.761,266,20,7,0,7,6,8,.315,121,90
224,,ATL,Batting 3rd,2011,185,91.3,162,719,641,76,165,36,1,24,95,6,2,69,125,.257,.330,.429,.759,275,14,3,0,5,11,4,.284,118,88
225,,SDP,Batting 3rd,2007,186,91.2,163,734,641,86,153,41,2,23,93,6,2,78,137,.239,.327,.417,.744,267,11,9,1,5,4,2,.267,103,76
226,,TBR,Batting 3rd,2012,175,90.9,162,713,607,82,150,28,3,21,85,16,5,88,147,.247,.348,.407,.755,247,14,9,2,6,3,4,.290,113,87
227,,STL,Batting 3rd,2015,221,90.8,162,719,624,72,173,35,2,14,79,10,7,79,114,.277,.363,.407,.770,254,24,9,0,7,7,8,.316,116,91
228,,MIN,Batting 3rd,2011,171,90.7,162,703,637,77,181,38,1,15,79,8,0,58,110,.284,.346,.418,.763,266,20,4,0,4,9,9,.322,129,90
229,,CIN,Batting 3rd,2008,203,90.3,162,717,625,82,152,34,2,26,88,5,3,81,113,.243,.332,.429,.761,268,13,5,0,6,17,5,.256,109,84
230,,DET,Batting 3rd,2010,191,90.3,162,737,663,96,181,32,2,17,95,5,0,66,102,.273,.342,.404,.746,268,23,5,0,3,0,6,.300,99,83
231,,SFG,Batting 3rd,2011,197,89.9,162,718,653,72,178,36,5,23,90,9,4,53,115,.273,.324,.449,.772,293,23,1,1,10,10,4,.295,129,91
232,,ATL,Batting 3rd,2009,201,89.7,162,729,608,90,150,28,2,18,71,6,2,111,106,.247,.361,.388,.749,236,17,2,1,7,18,3,.269,102,82
233,,LAD,Batting 3rd,2013,195,89.7,162,716,655,85,182,39,0,20,86,5,0,53,122,.278,.330,.429,.759,281,22,1,1,6,5,4,.312,110,90
234,,HOU,Batting 3rd,2015,178,89.3,162,706,619,89,147,36,1,27,89,22,5,79,143,.237,.323,.430,.753,266,13,2,1,5,5,8,.264,101,85
235,,HOU,Batting 3rd,2014,178,89.2,162,717,620,84,144,21,1,31,96,11,2,77,209,.232,.326,.419,.745,260,12,12,2,6,4,4,.293,115,86
236,,ARI,Batting 3rd,2010,170,89.1,162,723,624,87,159,32,5,17,75,15,6,86,180,.255,.347,.404,.751,252,20,5,3,5,0,5,.329,104,84
237,,PIT,Batting 3rd,2007,184,89.1,162,727,665,80,187,42,4,11,90,1,0,45,118,.281,.328,.406,.734,270,14,6,1,10,1,9,.322,100,74
238,,CHC,Batting 3rd,2011,186,89.0,162,718,660,93,184,34,5,18,77,7,1,41,99,.279,.326,.427,.753,282,21,9,0,8,5,13,.301,110,87
239,,DET,Batting 3rd,2011,223,89.0,162,730,674,107,186,30,1,24,94,1,2,41,117,.276,.317,.430,.748,290,18,4,2,9,0,7,.299,92,85
240,,TEX,Batting 3rd,2009,172,88.8,162,715,649,82,165,40,3,25,90,11,4,52,148,.254,.310,.441,.751,286,12,4,1,8,6,3,.289,96,79
241,,OAK,Batting 3rd,2015,184,88.0,162,716,643,86,164,36,4,21,85,6,2,60,102,.255,.318,.421,.740,271,11,3,1,7,4,7,.271,109,82
242,,PIT,Batting 3rd,2011,213,88.0,162,703,618,78,161,36,4,16,87,14,11,72,136,.261,.343,.409,.753,253,11,8,1,4,4,8,.309,122,88
243,,SDP,Batting 3rd,2013,185,87.7,162,712,618,76,153,36,2,19,76,6,2,74,157,.248,.338,.405,.743,250,14,14,0,6,6,4,.299,117,87
244,,LAA,Batting 3rd,2011,181,87.3,162,706,611,80,160,32,2,14,67,20,9,89,137,.262,.355,.390,.745,238,15,1,2,3,6,4,.315,110,87
245,,CHW,Batting 3rd,2010,179,86.7,162,708,631,95,167,26,3,25,104,30,13,62,121,.265,.336,.434,.770,274,27,9,0,6,4,4,.289,105,88
