Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
211,,CHC,Batting 4th,2013,188,90.5,162,695,644,85,167,42,1,31,92,15,7,36,155,.259,.305,.472,.777,304,12,9,0,6,3,8,.293,122,95
212,,NYM,Batting 4th,2013,191,90.5,162,705,621,83,156,32,3,22,80,8,4,69,180,.251,.332,.419,.751,260,7,9,0,6,5,5,.315,123,91
213,,SFG,Batting 4th,2011,205,90.4,162,700,627,66,173,35,4,19,81,9,9,59,115,.276,.338,.435,.773,273,14,4,1,9,8,6,.307,130,95
214,,ATL,Batting 4th,2014,196,90.2,162,696,624,78,159,37,3,25,102,8,3,59,186,.255,.319,.444,.763,277,11,4,0,9,1,3,.318,128,102
215,,SEA,Batting 4th,2013,180,90.2,162,702,649,77,171,29,0,34,87,0,2,48,149,.263,.316,.465,.782,302,19,3,0,2,5,6,.293,123,97
216,,TBR,Batting 4th,2015,184,90.0,162,686,599,77,159,35,1,18,72,8,6,71,107,.265,.347,.417,.764,250,9,8,0,8,8,6,.293,113,94
217,,KCR,Batting 4th,2011,170,89.8,162,712,643,85,178,39,3,15,87,17,6,56,103,.277,.335,.417,.752,268,15,4,1,8,10,2,.306,102,91
218,,CIN,Batting 4th,2013,184,89.6,162,728,651,88,176,28,1,23,126,7,3,58,107,.270,.332,.422,.754,275,20,7,1,10,10,7,.288,110,92
219,,CIN,Batting 4th,2009,184,89.5,162,698,637,80,173,31,2,24,110,20,8,44,104,.272,.326,.440,.765,280,16,10,1,6,1,6,.289,114,86
220,,MIL,Batting 4th,2013,200,89.5,162,690,605,77,154,34,1,23,87,12,3,69,129,.255,.338,.428,.766,259,16,10,0,6,1,3,.285,116,95
221,,BOS,Batting 4th,2014,177,89.2,162,714,619,71,155,33,3,22,93,4,2,82,157,.250,.343,.420,.763,260,20,8,0,5,9,9,.299,122,104
222,,PIT,Batting 4th,2013,221,89.2,162,700,621,71,160,37,3,22,89,3,2,63,162,.258,.328,.433,.761,269,14,6,1,8,2,6,.310,114,93
223,,ARI,Batting 4th,2011,173,89.0,162,691,593,82,151,36,4,16,89,11,7,85,145,.255,.352,.410,.761,243,11,7,0,6,9,5,.308,109,94
224,,WSN,Batting 4th,2014,183,88.8,162,708,610,80,153,23,1,24,98,3,0,87,136,.251,.342,.410,.752,250,15,2,0,9,9,6,.281,111,101
225,,KCR,Batting 4th,2006,180,88.2,162,711,633,94,160,42,1,24,113,11,4,61,138,.253,.319,.436,.755,276,16,6,0,11,7,3,.282,102,73
226,,CHC,Batting 4th,2010,189,87.9,162,707,641,90,161,35,1,28,92,3,1,49,134,.251,.313,.440,.753,282,14,11,0,6,2,10,.274,108,86
227,,CLE,Batting 4th,2011,189,87.9,162,701,603,84,142,35,2,24,88,4,2,91,150,.235,.338,.420,.758,253,15,4,0,3,5,3,.273,113,92
228,,CIN,Batting 4th,2012,190,87.7,162,698,629,91,168,29,3,23,98,9,3,55,106,.267,.333,.432,.765,272,21,9,1,4,6,8,.288,111,89
229,,OAK,Batting 4th,2011,180,87.3,162,696,609,78,147,28,0,28,109,6,0,65,165,.241,.321,.425,.746,259,11,11,0,10,3,5,.279,118,88
230,,CHW,Batting 4th,2014,196,87.0,162,696,628,76,152,31,1,35,94,4,1,59,169,.242,.307,.462,.769,290,17,3,0,6,9,7,.272,115,103
231,,NYM,Batting 4th,2010,180,86.7,162,702,622,86,156,29,4,24,91,9,4,66,157,.251,.322,.426,.748,265,13,4,0,10,7,7,.293,114,86
232,,PIT,Batting 4th,2011,189,86.1,162,692,606,81,155,22,3,21,92,5,3,71,116,.256,.336,.406,.742,246,10,6,2,7,5,4,.282,119,88
233,,MIA,Batting 4th,2015,190,86.0,162,685,623,65,160,29,0,31,104,2,0,54,154,.257,.318,.453,.771,282,21,4,0,4,5,2,.292,121,93
234,,SDP,Batting 4th,2015,183,85.6,162,690,614,91,149,32,3,29,94,15,5,64,172,.243,.313,.446,.760,274,16,3,0,8,3,11,.285,120,90
235,,SFG,Batting 4th,2014,234,85.6,162,695,640,75,176,31,2,22,91,1,1,41,98,.275,.320,.433,.753,277,18,5,2,7,4,11,.292,115,100
236,,MIA,Batting 4th,2013,171,85.3,162,689,619,73,164,30,5,17,79,7,3,60,138,.265,.337,.412,.749,255,16,8,1,1,5,2,.316,138,91
237,,CHW,Batting 4th,2015,181,84.9,162,691,607,71,154,31,3,17,77,7,2,72,154,.254,.336,.399,.735,242,11,6,1,5,4,6,.311,115,87
238,,LAA,Batting 4th,2013,174,84.6,162,722,652,84,161,29,4,30,115,5,3,59,182,.247,.307,.442,.749,288,22,2,0,9,4,4,.292,100,89
239,,WSN,Batting 4th,2008,195,84.4,161,708,603,81,154,28,2,16,73,10,4,85,132,.255,.355,.388,.743,234,23,12,1,7,7,8,.299,114,80
240,,PIT,Batting 4th,2012,233,84.2,162,685,623,80,159,34,3,24,91,1,1,49,137,.255,.308,.435,.743,271,11,3,0,10,2,5,.286,111,82
241,,ARI,Batting 4th,2013,183,84.0,162,725,641,76,169,37,4,17,85,2,0,66,116,.264,.331,.413,.744,265,30,5,0,13,5,6,.292,108,90
242,,ARI,Batting 4th,2006,186,83.9,162,718,619,95,156,40,1,13,79,6,2,78,99,.252,.341,.383,.724,237,16,10,2,9,8,8,.277,93,68
243,,LAA,Batting 4th,2014,190,83.9,162,713,624,78,154,32,5,15,79,7,3,74,177,.247,.329,.386,.715,241,8,6,1,8,7,5,.316,97,92
244,,NYM,Batting 4th,2015,207,83.7,162,710,640,86,161,36,2,22,74,1,3,59,160,.252,.323,.417,.740,267,18,9,0,2,2,8,.302,108,87
245,,MIN,Batting 4th,2015,179,83.6,162,688,594,85,137,34,4,25,98,4,1,85,191,.231,.326,.428,.754,254,19,2,1,6,2,8,.292,114,90
246,,OAK,Batting 4th,2008,192,83.6,161,702,607,87,142,27,1,24,76,5,1,84,156,.234,.332,.400,.732,243,15,7,0,4,3,5,.274,113,76
247,,OAK,Batting 4th,2015,184,83.4,162,703,616,94,161,35,4,19,92,0,1,72,112,.261,.338,.424,.762,261,30,4,1,9,7,6,.287,116,93
248,,SEA,Batting 4th,2008,179,83.4,162,699,624,79,156,37,2,21,87,8,5,69,99,.250,.324,.417,.740,260,14,1,1,4,13,7,.266,109,77
249,,PIT,Batting 4th,2015,220,83.1,162,711,654,74,178,42,3,15,91,14,6,40,123,.272,.324,.414,.738,271,23,12,1,4,2,6,.313,105,86
250,,HOU,Batting 4th,2013,196,82.8,162,686,607,77,141,22,3,28,75,1,2,70,223,.232,.314,.417,.731,253,6,4,1,3,3,5,.315,116,85
251,,BAL,Batting 4th,2010,179,82.4,162,701,621,72,158,31,0,20,86,2,0,63,99,.254,.330,.401,.730,249,18,10,0,7,6,6,.271,108,82
252,,SEA,Batting 4th,2009,184,82.2,162,693,617,76,147,39,0,25,90,5,2,64,124,.238,.308,.423,.731,261,11,2,1,9,5,9,.256,103,77
253,,DET,Batting 4th,2015,180,82.1,161,694,632,82,165,27,2,25,96,2,2,46,127,.261,.317,.429,.746,271,20,9,0,7,9,4,.287,99,88
254,,MIN,Batting 4th,2011,182,81.9,162,685,612,71,158,35,3,19,97,4,1,63,116,.258,.330,.418,.748,256,23,5,0,5,2,5,.288,124,89
255,,ATL,Batting 4th,2015,208,81.3,162,684,618,60,175,32,0,15,82,3,0,56,104,.283,.343,.408,.750,252,29,3,0,6,5,5,.317,123,91
256,,KCR,Batting 4th,2007,196,81.3,162,696,635,81,169,36,4,16,104,6,5,46,100,.266,.321,.411,.732,261,16,8,1,6,6,7,.291,106,73
257,,CLE,Batting 4th,2010,182,81.2,162,704,618,69,152,30,1,16,78,5,2,73,162,.246,.332,.375,.708,232,8,9,0,4,11,9,.306,102,77
258,,ARI,Batting 4th,2014,176,81.1,162,694,614,71,161,31,2,16,98,3,5,62,137,.262,.334,.397,.732,244,16,9,0,9,7,4,.309,116,96
259,,LAA,Batting 4th,2011,177,81.0,162,696,637,88,160,21,1,31,100,11,4,52,121,.251,.306,.433,.739,276,20,1,0,6,1,13,.263,106,86
260,,ARI,Batting 4th,2010,178,80.5,162,709,628,90,151,27,2,24,79,4,5,71,207,.240,.317,.404,.722,254,14,3,0,7,7,1,.314,95,79
261,,HOU,Batting 4th,2015,188,80.2,162,694,630,88,145,30,10,30,95,4,1,50,152,.230,.291,.452,.744,285,18,7,1,6,5,6,.253,96,85
262,,MIA,Batting 4th,2014,170,79.4,162,705,629,62,182,29,2,6,76,4,1,69,113,.289,.356,.370,.726,233,31,0,0,7,4,3,.340,110,96
263,,KCR,Batting 4th,2014,179,78.9,162,694,636,85,170,36,0,14,74,9,1,45,119,.267,.320,.390,.710,248,17,7,0,6,4,2,.306,106,90
264,,HOU,Batting 4th,2012,191,78.8,162,685,618,67,155,29,4,19,78,6,3,58,123,.251,.319,.403,.722,249,15,5,1,3,2,9,.284,114,79
265,,MIL,Batting 4th,2014,192,78.8,162,697,638,65,175,34,1,14,79,10,2,41,98,.274,.329,.397,.726,253,27,13,1,4,1,4,.304,106,94
266,,PHI,Batting 4th,2014,196,78.7,162,710,631,75,146,22,2,25,103,1,0,67,196,.231,.310,.391,.701,247,11,7,0,5,8,5,.292,110,87
267,,STL,Batting 4th,2015,214,78.7,162,704,635,74,161,30,3,17,88,8,3,61,135,.254,.323,.391,.713,248,18,5,0,2,7,10,.297,100,81
268,,MIN,Batting 4th,2014,188,78.5,162,713,647,79,155,31,3,22,102,3,1,48,178,.240,.297,.399,.696,258,10,9,0,9,2,10,.292,94,85
269,,SDP,Batting 4th,2010,181,77.6,162,702,619,80,154,28,1,18,71,10,2,70,139,.249,.328,.384,.712,238,21,6,0,7,13,10,.290,107,78
270,,BAL,Batting 4th,2009,169,77.5,162,709,641,77,163,32,1,19,87,3,6,57,104,.254,.315,.396,.711,254,16,3,0,8,7,5,.274,90,74
271,,PHI,Batting 4th,2015,218,77.4,162,688,631,76,150,37,2,27,87,0,1,45,169,.238,.294,.431,.725,272,16,7,0,4,1,1,.280,110,81
272,,TBR,Batting 4th,2014,168,77.4,162,704,633,72,163,27,0,17,92,6,0,54,131,.258,.319,.381,.699,241,17,7,1,9,8,9,.296,104,87
273,,PHI,Batting 4th,2013,196,77.3,162,685,623,68,153,31,4,22,92,2,3,49,166,.246,.304,.414,.718,258,13,6,0,7,5,9,.296,107,82
274,,STL,Batting 4th,2007,205,76.9,162,713,627,77,154,24,2,20,103,1,2,65,130,.246,.320,.386,.706,242,20,8,3,10,3,2,.275,90,67
275,,TOR,Batting 4th,2011,175,76.5,162,719,663,74,162,25,0,29,110,7,2,41,129,.244,.288,.413,.702,274,18,4,1,10,4,6,.258,91,76
276,,STL,Batting 4th,2014,188,76.3,162,697,643,68,167,39,3,13,79,3,3,42,136,.260,.310,.390,.700,251,14,7,0,5,3,4,.309,103,87
277,,CIN,Batting 4th,2011,175,76.0,162,719,638,77,156,30,1,19,94,7,11,60,130,.245,.317,.384,.701,245,14,11,1,8,6,7,.276,91,78
278,,BAL,Batting 4th,2011,177,75.7,162,698,655,76,182,31,1,16,65,2,2,27,78,.278,.314,.402,.715,263,25,10,0,6,6,6,.293,97,81
279,,CLE,Batting 4th,2012,175,75.5,162,705,608,68,145,28,3,18,86,2,5,85,104,.238,.333,.383,.717,233,25,5,0,7,5,8,.258,103,79
280,,PIT,Batting 4th,2014,199,75.5,162,708,628,79,141,28,3,24,95,6,3,73,143,.225,.305,.393,.698,247,16,2,0,5,4,5,.251,90,86
281,,CIN,Batting 4th,2014,175,75.1,162,676,593,77,134,25,1,23,99,8,2,67,163,.226,.311,.388,.699,230,10,9,0,7,4,5,.268,111,87
282,,KCR,Batting 4th,2008,200,74.8,162,701,658,77,166,34,1,26,126,2,1,33,122,.252,.292,.426,.718,280,25,6,0,4,2,9,.272,99,70
283,,PIT,Batting 4th,2010,166,74.7,162,685,622,66,153,37,1,19,83,7,3,54,139,.246,.304,.400,.704,249,16,1,0,8,1,6,.284,107,75
284,,TBR,Batting 4th,2011,184,74.4,162,701,625,83,144,31,2,21,99,15,6,62,139,.230,.306,.387,.693,242,15,8,2,4,3,8,.262,91,75
