Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
78,,SEA,Batting 2nd,2005,173,77.8,162,729,655,86,168,43,5,7,66,19,6,52,104,.256,.315,.369,.684,242,14,6,11,5,0,8,.293,94,87
79,,SFG,Batting 2nd,2005,179,76.3,162,726,646,69,172,31,4,6,47,18,8,51,77,.266,.324,.354,.679,229,13,7,17,5,0,11,.292,91,86
80,,NYM,Batting 2nd,2005,193,75.5,162,740,665,82,163,34,4,12,58,24,6,42,124,.245,.296,.362,.658,241,8,9,16,8,0,10,.281,79,79
81,,NYM,Batting 2nd,2004,196,74.8,162,742,671,85,166,33,3,12,66,13,1,53,133,.247,.306,.359,.665,241,17,5,9,4,0,12,.291,84,77
82,,MIN,Batting 2nd,2003,192,74.1,162,755,691,102,174,29,13,10,60,17,9,40,97,.252,.294,.375,.669,259,16,4,14,6,0,11,.278,73,75
83,,KCR,Batting 2nd,2005,182,72.8,162,729,651,97,166,21,6,9,60,5,2,49,111,.255,.317,.347,.664,226,15,12,12,5,2,12,.293,87,82
84,,PIT,Batting 2nd,2005,187,71.5,162,737,680,79,181,28,6,2,44,9,1,35,91,.266,.309,.334,.643,227,13,9,10,3,1,10,.303,80,76
85,,CIN,Batting 2nd,2004,217,70.7,162,749,684,97,167,32,4,13,73,2,0,52,116,.244,.300,.360,.659,246,24,4,5,4,0,6,.275,77,75
86,,WSN,Batting 2nd,2005,226,70.6,162,738,645,81,154,31,6,8,49,6,6,60,116,.239,.311,.343,.654,221,13,10,18,5,0,2,.278,85,79
87,,MIN,Batting 2nd,2005,189,65.9,162,742,665,74,162,29,3,7,50,12,5,57,110,.244,.307,.328,.635,218,22,5,12,3,0,1,.281,79,74
88,,DET,Batting 2nd,2003,176,64.3,162,725,659,74,160,23,4,10,50,6,7,43,104,.243,.288,.335,.623,221,8,1,17,5,1,8,.273,85,64
89,,MIN,Batting 2nd,2004,184,63.3,162,751,679,79,156,24,0,12,62,15,6,54,119,.230,.291,.318,.609,216,17,7,6,5,2,3,.260,61,62
90,,LAD,Batting 2nd,2003,181,60.0,162,724,661,66,159,32,1,5,45,3,2,37,78,.241,.293,.315,.607,208,16,12,13,1,3,6,.266,82,61
