Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,HOU,Batting 4th,2019,181,157.8,162,728,639,115,215,47,2,40,140,6,2,73,109,.336,.407,.604,1.011,386,16,8,0,8,4,4,.351,138,147
2,,ATL,Batting 4th,2023,174,147.8,162,714,619,121,187,34,2,50,140,1,0,82,141,.302,.389,.606,.995,375,14,9,0,4,6,2,.317,134,157
3,,LAD,Batting 4th,2019,191,146.1,162,712,599,124,175,35,3,48,127,15,4,102,123,.292,.394,.601,.995,360,12,3,0,7,20,1,.292,144,142
4,,BOS,Batting 4th,2018,185,139.1,162,715,629,104,196,51,4,37,126,5,1,75,160,.312,.386,.582,.968,366,20,5,0,6,10,11,.363,142,144
5,,NYY,Batting 4th,2018,177,138.4,162,715,613,113,182,34,3,44,131,5,3,83,158,.297,.379,.577,.957,354,11,6,0,13,6,6,.325,143,141
6,,BOS,Batting 4th,2019,178,134.7,162,744,660,112,201,44,4,37,121,3,4,74,153,.305,.376,.552,.928,364,16,4,1,4,8,7,.346,129,127
7,,WSN,Batting 4th,2019,174,133.6,162,713,599,115,169,35,4,38,123,12,1,101,142,.282,.384,.544,.929,326,11,4,0,9,2,6,.306,132,127
8,,BOS,Batting 4th,2016,180,132.8,162,725,631,94,190,47,1,37,137,11,2,88,100,.301,.385,.555,.940,350,22,1,0,5,15,4,.307,131,135
9,,COL,Batting 4th,2019,191,128.5,162,715,634,106,192,40,4,35,131,9,3,62,118,.303,.368,.544,.913,345,13,9,0,9,5,6,.320,132,122
10,,OAK,Batting 4th,2017,187,126.9,162,697,601,111,159,29,1,56,130,5,0,83,198,.265,.356,.596,.951,358,19,6,0,7,4,7,.291,148,133
11,,ARI,Batting 4th,2017,177,126.4,162,714,620,101,176,37,5,43,141,8,4,84,187,.284,.369,.568,.937,352,21,3,0,6,13,5,.336,140,131
12,,COL,Batting 4th,2016,186,126.1,162,706,627,117,188,35,4,36,127,2,4,71,128,.300,.373,.541,.914,339,11,4,1,3,10,3,.326,129,128
13,,SDP,Batting 4th,2021,185,125.6,162,700,606,109,176,40,1,36,126,17,3,80,116,.290,.370,.538,.908,326,11,3,0,11,13,7,.301,149,132
14,,WSN,Batting 4th,2017,177,124.8,162,710,632,110,194,37,1,36,128,1,0,66,124,.307,.369,.540,.909,341,18,2,0,10,5,6,.328,131,125
