Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,BOS,Batting 1st,2018,176,178.6,162,773,665,159,221,59,6,38,99,34,9,93,113,.332,.418,.611,1.028,406,8,9,0,6,8,7,.352,158,171
2,,ATL,Batting 1st,2023,174,170.9,162,767,675,153,225,39,4,42,108,73,14,80,91,.333,.409,.590,.999,398,15,9,0,3,3,4,.336,137,158
3,,LAD,Batting 1st,2024,172,170.3,162,762,656,133,201,37,8,45,125,53,4,97,133,.306,.398,.593,.991,389,6,5,0,3,9,1,.324,152,166
4,,COL,Batting 1st,2017,187,163.0,162,756,674,142,223,36,16,38,110,13,9,66,143,.331,.397,.601,.998,405,5,10,3,3,9,9,.373,153,162
5,,LAD,Batting 1st,2023,187,158.3,162,779,659,138,196,41,2,43,119,15,4,106,132,.297,.398,.561,.959,370,5,8,0,6,3,5,.312,140,148
6,,HOU,Batting 1st,2019,187,138.1,162,774,673,134,186,28,4,50,122,10,3,89,162,.276,.364,.553,.916,372,14,6,0,5,1,7,.292,115,133
7,,BAL,Batting 1st,2024,182,136.7,162,753,667,123,193,34,6,39,92,20,7,72,184,.289,.364,.534,.898,356,3,9,0,5,1,3,.343,138,141
8,,COL,Batting 1st,2016,174,135.7,162,763,691,127,215,39,5,32,90,26,9,50,124,.311,.365,.521,.886,360,5,12,4,6,4,3,.338,123,130
9,,LAD,Batting 1st,2025,155,134.9,146,679,571,138,160,23,8,46,89,19,8,100,157,.280,.388,.590,.979,337,9,3,0,3,15,3,.307,153,157
10,,COL,Batting 1st,2019,173,134.8,162,771,714,130,215,45,9,35,91,9,5,48,150,.301,.350,.536,.887,383,7,7,0,2,1,5,.339,125,125
11,,TBR,Batting 1st,2023,189,134.4,162,756,668,121,213,44,1,25,98,8,1,74,124,.319,.396,.500,.896,334,17,12,0,2,0,2,.361,132,133
12,,NYM,Batting 1st,2024,175,133.0,162,757,667,115,189,40,2,34,105,27,2,72,147,.283,.366,.502,.868,335,5,16,0,2,0,5,.318,136,134
13,,BOS,Batting 1st,2016,176,132.1,162,772,716,124,233,43,5,26,103,20,6,47,89,.325,.365,.508,.874,364,15,2,0,7,0,9,.340,115,127
14,,BAL,Batting 1st,2021,170,131.5,162,730,649,99,191,40,5,32,62,30,7,65,133,.294,.365,.519,.884,337,2,9,2,4,2,3,.326,149,130
15,,CIN,Batting 1st,2021,186,130.1,162,755,657,131,186,41,1,36,88,12,4,78,158,.283,.374,.513,.887,337,12,18,1,1,0,4,.323,133,132
16,,HOU,Batting 1st,2017,177,130.0,162,762,666,133,192,36,2,38,103,9,8,78,135,.288,.372,.520,.892,346,12,13,0,3,1,8,.310,116,135
17,,TBR,Batting 1st,2021,184,129.8,162,764,664,135,181,39,2,38,95,15,4,83,191,.273,.361,.509,.870,338,6,12,0,5,1,5,.325,131,127
18,,LAD,Batting 1st,2021,172,129.0,162,768,671,135,185,47,5,33,83,18,6,74,134,.276,.358,.508,.866,341,6,16,0,7,3,8,.297,127,126
19,,LAD,Batting 1st,2022,176,128.4,162,761,685,134,191,47,3,40,94,17,2,63,135,.279,.344,.531,.876,364,12,8,0,5,0,8,.293,123,143
20,,ATL,Batting 1st,2019,166,127.6,162,778,699,142,191,25,4,42,100,41,10,71,194,.273,.347,.501,.848,350,6,8,0,0,4,7,.322,114,116
21,,CLE,Batting 1st,2018,178,127.2,162,774,691,132,192,45,2,37,96,27,10,66,115,.278,.349,.509,.858,352,5,11,3,3,6,8,.286,122,126
22,,TEX,Batting 1st,2023,174,126.5,162,766,682,126,193,41,4,32,105,14,3,73,111,.283,.354,.496,.850,338,5,5,0,5,1,8,.296,115,120
23,,MIN,Batting 1st,2017,181,126.4,162,767,668,113,184,35,4,36,101,17,7,89,149,.275,.366,.501,.868,335,11,8,0,2,6,4,.305,125,129
24,,TBR,Batting 1st,2019,187,125.2,162,766,685,119,194,34,7,34,92,17,7,72,161,.283,.358,.502,.860,344,10,8,1,0,4,1,.327,127,120
25,,HOU,Batting 1st,2022,186,124.9,162,741,653,121,187,44,2,31,65,20,1,74,112,.286,.368,.502,.870,328,15,11,0,2,2,3,.305,134,143
26,,HOU,Batting 1st,2016,174,124.9,162,766,660,129,184,41,4,29,84,21,5,90,155,.279,.373,.485,.858,320,14,12,0,4,5,4,.323,133,124
27,,ARI,Batting 1st,2024,180,123.4,162,771,660,137,178,30,11,30,97,26,8,86,138,.270,.356,.485,.841,320,5,9,4,12,2,7,.294,116,127
28,,ARI,Batting 1st,2016,183,123.0,162,762,702,106,216,40,8,21,66,33,10,41,114,.308,.356,.477,.833,335,6,13,4,2,1,9,.343,122,117
29,,MIN,Batting 1st,2019,180,122.5,162,786,697,139,183,38,1,45,109,1,6,72,128,.263,.336,.514,.850,358,7,9,0,8,0,8,.259,104,116
30,,NYM,Batting 1st,2017,179,122.4,162,757,659,126,176,39,3,34,89,15,4,87,162,.267,.357,.490,.847,323,5,6,3,2,5,3,.305,125,123
31,,BOS,Batting 1st,2019,172,120.8,162,786,675,133,180,41,6,30,89,14,2,94,145,.267,.355,.479,.834,323,14,5,1,11,5,5,.294,107,114
32,,ATL,Batting 1st,2021,192,120.4,161,746,644,126,163,31,3,44,106,22,7,77,169,.253,.341,.516,.856,332,5,13,2,9,2,3,.270,126,122
33,,ARI,Batting 1st,2025,151,120.0,147,689,599,121,162,31,13,33,87,25,7,78,136,.270,.361,.531,.892,318,8,8,2,2,2,1,.299,134,135
34,,STL,Batting 1st,2018,198,120.0,162,756,642,136,160,37,0,38,81,12,4,102,181,.249,.358,.484,.842,311,2,8,0,3,16,2,.286,130,123
