Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,SFG,Batting 4th,2004,199,226.2,162,730,484,138,175,39,3,48,120,7,2,233,59,.362,.571,.752,1.323,364,5,9,0,4,115,6,.333,232,208
2,,SFG,Batting 4th,2003,191,175.6,161,705,540,126,172,34,3,46,120,10,2,154,98,.319,.472,.648,1.120,350,10,7,0,4,52,5,.315,192,156
3,,TOR,Batting 4th,2003,179,157.9,162,720,583,120,177,39,1,44,148,0,0,111,140,.304,.426,.600,1.027,350,9,19,0,7,23,2,.328,154,134
4,,BOS,Batting 4th,2003,198,156.5,162,743,624,133,204,38,1,41,113,7,2,106,104,.327,.428,.588,1.016,367,22,8,0,5,28,6,.337,139,132
5,,FLA,Batting 4th,2005,214,152.5,162,707,617,105,207,50,5,34,112,3,0,77,137,.335,.413,.598,1.011,369,15,8,0,5,23,4,.384,168,140
6,,STL,Batting 4th,2003,206,145.3,162,734,624,127,188,50,3,37,112,7,5,92,122,.301,.396,.569,.965,355,10,10,1,7,6,6,.320,139,120
7,,CHC,Batting 4th,2004,194,141.5,162,715,631,125,197,39,1,43,113,2,1,76,108,.312,.383,.582,.965,367,14,1,0,7,4,6,.316,144,122
8,,ATL,Batting 4th,2003,194,137.0,162,726,622,124,192,35,3,36,131,2,2,96,93,.309,.399,.548,.948,341,17,2,0,6,14,4,.313,130,117
9,,BOS,Batting 4th,2004,195,135.6,162,743,633,110,183,43,2,43,136,5,4,94,154,.289,.384,.567,.951,359,21,8,0,8,18,4,.315,127,120
10,,STL,Batting 4th,2004,190,135.5,162,714,584,121,167,37,4,35,122,9,6,108,135,.286,.402,.543,.945,317,9,12,0,10,9,3,.311,135,120
11,,LAD,Batting 4th,2004,187,135.4,162,714,627,109,192,32,0,43,114,9,2,79,114,.306,.388,.563,.951,353,19,6,0,2,12,6,.316,150,120
12,,BOS,Batting 4th,2005,189,135.3,162,730,635,127,187,37,0,48,151,0,0,82,122,.294,.377,.580,.956,368,23,6,0,7,10,6,.294,133,126
13,,HOU,Batting 4th,2003,174,132.0,162,719,632,114,193,43,5,32,115,9,5,75,109,.305,.387,.541,.928,342,16,10,0,2,2,9,.327,141,112
14,,PHI,Batting 4th,2003,177,131.0,162,721,610,106,176,31,5,37,126,8,6,100,157,.289,.391,.538,.929,328,13,6,0,5,12,8,.330,142,113
15,,PHI,Batting 4th,2004,183,130.0,162,731,605,107,165,28,1,44,122,2,1,114,163,.273,.388,.540,.928,327,15,4,1,7,27,1,.299,134,115
16,,CHW,Batting 4th,2005,193,127.4,162,702,612,105,177,28,0,41,109,1,0,81,121,.289,.376,.536,.912,328,9,6,0,3,8,1,.300,143,116
