Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,CLE,Batting 1st,2006,170,144.8,162,769,671,137,197,55,11,29,78,23,7,80,153,.294,.378,.538,.916,361,3,13,1,4,8,6,.341,126,139
2,,LAA,Batting 1st,2012,162,143.5,162,747,657,139,205,29,9,30,92,52,6,74,159,.312,.383,.521,.903,342,7,6,2,8,4,7,.368,136,152
3,,FLA,Batting 1st,2008,174,142.9,161,758,659,135,199,36,4,34,70,37,12,89,130,.302,.391,.524,.914,345,5,8,0,2,9,9,.332,141,140
4,,FLA,Batting 1st,2007,178,142.0,162,780,699,129,223,49,9,24,76,54,14,64,109,.319,.379,.518,.897,362,12,7,5,5,2,5,.349,128,135
5,,BOS,Batting 1st,2011,172,138.7,162,782,703,126,218,48,6,33,105,38,16,57,108,.310,.366,.536,.903,377,10,9,4,6,1,9,.326,121,146
6,,NYY,Batting 1st,2009,191,138.1,162,785,695,121,231,30,4,21,73,34,5,76,103,.332,.402,.478,.880,332,19,7,4,3,4,7,.366,111,132
7,,DET,Batting 1st,2007,183,136.2,162,777,709,135,207,48,21,25,77,22,1,58,164,.292,.348,.525,.873,372,5,4,4,2,1,6,.349,116,127
8,,CLE,Batting 1st,2008,165,135.2,162,772,659,103,177,41,5,34,92,39,5,99,135,.269,.372,.501,.873,330,5,11,0,3,14,2,.290,128,129
9,,PHI,Batting 1st,2007,175,133.3,162,792,727,147,214,37,17,32,93,40,6,51,91,.294,.345,.524,.869,381,15,8,1,5,5,12,.299,112,126
10,,MIL,Batting 1st,2007,165,132.7,162,762,650,135,177,31,8,33,74,40,6,87,152,.272,.369,.497,.866,323,4,16,4,5,3,9,.306,121,127
11,,CHC,Batting 1st,2007,174,131.9,162,765,717,127,217,55,6,35,87,23,7,40,143,.303,.341,.543,.884,389,10,4,0,4,4,5,.335,131,130
12,,CIN,Batting 1st,2013,174,131.1,162,765,622,114,178,40,4,21,56,20,15,114,138,.286,.415,.465,.880,289,3,24,4,1,5,4,.338,146,145
13,,NYM,Batting 1st,2006,179,130.7,162,773,711,133,217,34,19,20,84,67,17,58,94,.305,.358,.491,.849,349,6,1,3,0,6,7,.330,118,122
14,,NYY,Batting 1st,2006,185,129.8,162,785,695,132,204,45,6,25,91,28,10,76,102,.294,.365,.483,.848,336,4,5,4,5,1,7,.312,105,122
15,,WSN,Batting 1st,2006,177,128.7,162,762,672,119,186,41,3,41,88,42,20,78,154,.277,.357,.530,.887,356,5,7,3,2,15,5,.303,132,131
