Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,NYY,Batting 3rd,2024,182,188.6,162,732,582,127,187,37,1,59,151,12,0,136,178,.321,.457,.692,1.149,403,23,11,0,2,20,5,.369,199,193
2,,CIN,Batting 3rd,2017,184,160.3,162,723,573,111,185,35,1,37,104,6,1,136,85,.323,.455,.581,1.036,333,16,8,0,6,20,3,.324,173,152
3,,TOR,Batting 3rd,2021,170,147.2,162,703,615,125,192,36,2,49,112,6,1,81,117,.312,.394,.616,1.010,379,20,4,0,3,6,1,.316,152,148
4,,WSN,Batting 3rd,2019,179,146.4,162,729,620,127,191,42,3,40,143,8,1,87,105,.308,.398,.579,.977,359,17,12,1,9,7,4,.312,144,137
5,,CLE,Batting 3rd,2018,177,146.3,162,730,608,116,170,39,4,40,110,34,6,108,82,.280,.392,.554,.946,337,2,8,0,6,15,6,.264,146,136
6,,PHI,Batting 3rd,2021,181,143.6,162,710,589,115,175,48,2,36,95,16,4,110,162,.297,.411,.569,.980,335,13,6,2,3,15,3,.353,169,142
7,,WSN,Batting 3rd,2017,182,142.1,162,732,633,129,201,45,2,35,117,3,2,90,139,.318,.404,.561,.965,355,20,5,0,4,14,3,.359,147,133
8,,LAA,Batting 3rd,2016,181,138.5,162,709,602,119,188,28,4,32,107,22,3,95,127,.312,.408,.532,.939,320,12,6,0,6,9,8,.347,158,128
9,,WSN,Batting 3rd,2021,180,136.8,162,718,577,118,180,26,1,33,114,14,3,133,122,.312,.440,.532,.972,307,30,3,0,5,20,7,.344,158,143
10,,COL,Batting 3rd,2017,198,136.2,162,726,645,108,202,48,7,37,130,4,3,67,115,.313,.377,.581,.958,375,22,4,1,8,8,3,.329,142,130
11,,ARI,Batting 3rd,2016,177,136.1,162,734,612,116,182,37,3,30,100,34,5,108,151,.297,.404,.515,.919,315,16,6,0,7,12,5,.347,146,123
12,,HOU,Batting 3rd,2023,183,135.2,162,733,613,110,172,37,1,42,140,9,2,92,134,.281,.382,.550,.932,337,12,15,0,10,9,4,.291,141,140
13,,ATL,Batting 3rd,2019,184,134.3,162,735,636,118,186,37,3,40,127,6,3,91,137,.292,.385,.549,.934,349,17,6,0,2,12,2,.317,136,127
14,,DET,Batting 3rd,2016,183,133.2,161,713,628,100,201,33,1,39,111,0,0,76,123,.320,.394,.562,.956,353,26,4,0,5,15,4,.344,147,130
15,,ATL,Batting 3rd,2016,167,131.8,161,713,609,103,177,44,6,33,93,6,1,89,173,.291,.387,.545,.932,332,13,10,0,5,18,4,.353,163,125
16,,HOU,Batting 3rd,2017,177,131.0,162,725,642,115,202,41,3,29,101,20,1,67,109,.315,.380,.523,.904,336,17,6,1,8,4,8,.338,119,119
17,,MIN,Batting 3rd,2019,178,130.7,162,751,667,113,187,34,1,50,137,1,1,70,188,.280,.356,.559,.915,373,17,10,0,3,9,3,.317,119,121
18,,LAD,Batting 3rd,2021,201,130.3,162,729,631,110,189,24,0,38,107,12,2,81,128,.300,.387,.518,.905,327,16,12,0,5,1,5,.321,138,124
19,,LAA,Batting 3rd,2018,179,129.9,162,709,595,107,167,23,1,43,98,19,3,96,178,.281,.386,.539,.926,321,14,11,0,7,15,3,.325,154,131
20,,HOU,Batting 3rd,2024,195,129.6,161,718,619,96,186,40,2,33,91,9,0,82,120,.300,.385,.532,.917,329,16,8,0,7,15,3,.323,147,135
21,,CLE,Batting 3rd,2017,191,128.7,162,722,645,108,199,58,4,24,93,20,3,62,85,.309,.371,.522,.894,337,13,7,0,8,3,8,.322,126,116
22,,COL,Batting 3rd,2019,176,127.7,162,738,656,113,194,36,4,36,105,4,4,71,136,.296,.364,.527,.892,346,10,4,0,7,6,8,.322,127,116
23,,LAD,Batting 3rd,2022,179,127.4,162,724,644,103,202,38,4,26,110,17,5,66,101,.314,.376,.506,.882,326,8,4,0,9,8,4,.335,127,130
24,,COL,Batting 3rd,2018,178,127.0,163,723,632,117,178,37,4,43,126,5,2,81,147,.282,.361,.557,.918,352,16,2,0,8,9,8,.300,140,127
25,,CHC,Batting 3rd,2016,177,126.8,162,735,648,116,186,46,5,34,112,6,2,69,146,.287,.365,.531,.896,344,14,13,1,4,5,5,.322,130,115
26,,WSN,Batting 3rd,2018,190,126.3,162,732,591,113,154,32,1,36,109,11,1,126,147,.261,.388,.501,.889,296,9,4,0,11,15,3,.282,135,123
27,,BOS,Batting 3rd,2016,177,126.0,162,745,676,117,214,41,0,30,121,13,3,57,107,.317,.370,.510,.881,345,20,5,0,7,2,7,.337,117,112
28,,CIN,Batting 3rd,2019,186,125.7,162,713,631,95,176,25,2,50,111,7,0,64,199,.279,.351,.563,.913,355,15,10,0,8,2,4,.323,145,120
29,,BOS,Batting 3rd,2019,186,125.6,162,756,681,118,195,47,1,43,124,6,0,63,151,.286,.348,.548,.896,373,24,5,0,7,1,8,.308,120,116
30,,ATL,Batting 3rd,2017,168,125.2,162,719,622,105,182,46,2,31,94,8,5,85,129,.293,.384,.523,.906,325,15,9,0,3,14,6,.325,145,120
31,,NYY,Batting 3rd,2025,151,125.1,145,647,549,105,155,28,3,45,103,8,3,86,125,.282,.383,.590,.973,324,13,7,0,5,23,2,.286,147,146
32,,ATL,Batting 3rd,2018,174,124.7,162,724,634,96,194,44,4,23,101,10,3,77,135,.306,.384,.497,.881,315,11,7,0,6,12,7,.355,138,121
33,,HOU,Batting 3rd,2019,183,124.7,162,742,637,112,189,47,5,25,99,4,2,88,93,.297,.385,.504,.889,321,21,9,0,8,3,3,.311,111,118
34,,TOR,Batting 3rd,2024,175,123.0,162,714,642,100,199,45,2,31,109,4,3,61,90,.310,.373,.531,.904,341,19,6,0,5,12,3,.319,156,132
35,,ARI,Batting 3rd,2017,184,122.8,162,732,619,125,169,39,3,32,129,17,5,100,146,.273,.381,.501,.882,310,14,10,0,3,13,6,.309,128,114
36,,DET,Batting 3rd,2017,193,122.8,162,718,635,91,182,47,1,34,118,6,4,75,171,.287,.365,.524,.889,333,11,5,0,3,6,7,.342,136,115
37,,CIN,Batting 3rd,2016,181,121.6,162,711,601,101,188,32,2,24,97,6,3,94,112,.313,.407,.493,.900,296,21,7,1,8,15,2,.347,150,119
38,,CLE,Batting 3rd,2021,172,121.2,162,684,595,116,162,37,5,39,112,27,4,76,96,.272,.360,.548,.908,326,13,8,0,5,10,3,.265,154,123
39,,MIL,Batting 3rd,2016,180,120.6,162,708,645,105,196,24,4,40,113,23,6,55,130,.304,.360,.540,.900,348,21,4,0,4,11,9,.326,145,116
40,,CLE,Batting 3rd,2022,177,119.2,162,716,631,94,179,45,5,29,127,21,7,70,95,.284,.356,.509,.865,321,5,6,0,9,20,2,.291,146,125
