Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,LAD,Batting 2nd,2023,185,160.2,162,760,664,136,219,60,2,32,111,23,1,74,129,.330,.408,.571,.979,379,15,17,0,5,12,6,.368,146,149
2,,MIL,Batting 2nd,2019,189,156.3,162,750,625,125,184,38,4,46,100,24,4,115,164,.294,.408,.589,.997,368,16,7,0,3,15,4,.330,159,142
3,,NYY,Batting 2nd,2024,173,152.0,162,748,611,133,177,33,4,43,115,7,5,129,127,.290,.414,.568,.982,347,11,4,0,4,2,4,.301,157,159
4,,LAA,Batting 2nd,2019,173,151.1,162,744,602,128,166,28,2,48,116,11,2,122,145,.276,.409,.568,.977,342,8,16,0,4,13,5,.286,161,138
5,,KCR,Batting 2nd,2024,174,148.7,162,718,644,125,211,45,11,32,109,31,12,58,108,.328,.386,.581,.967,374,4,8,0,8,9,6,.350,170,154
6,,MIL,Batting 2nd,2018,184,147.5,163,746,651,126,203,35,7,37,112,27,3,83,155,.312,.395,.558,.953,363,18,9,0,3,4,7,.359,154,147
7,,ARI,Batting 2nd,2019,183,141.9,162,760,681,123,217,47,10,25,89,10,3,70,113,.319,.387,.527,.914,359,11,7,0,2,0,6,.352,141,123
8,,BOS,Batting 2nd,2019,172,141.9,162,772,694,135,216,59,5,29,108,10,6,71,124,.311,.376,.536,.912,372,8,3,1,3,6,8,.344,126,122
9,,NYY,Batting 2nd,2022,176,141.9,162,742,625,127,170,29,0,58,125,12,4,100,174,.272,.379,.597,.976,373,18,10,0,3,14,3,.283,157,154
10,,MIA,Batting 2nd,2017,184,139.4,162,740,637,129,180,31,0,54,121,2,4,88,161,.283,.374,.586,.960,373,14,8,2,5,11,6,.295,149,141
11,,NYY,Batting 2nd,2019,176,139.2,162,742,625,126,178,29,2,46,103,4,2,106,210,.285,.393,.558,.951,349,18,7,0,3,5,6,.355,130,131
12,,LAA,Batting 2nd,2023,171,138.5,162,734,612,117,170,32,5,42,92,15,5,105,191,.278,.390,.552,.942,338,9,11,0,5,20,2,.333,153,139
13,,TEX,Batting 2nd,2023,189,136.3,162,754,666,115,200,49,0,37,118,6,1,69,145,.300,.370,.541,.910,360,11,9,2,8,9,3,.331,130,131
14,,MIN,Batting 2nd,2019,179,136.1,162,765,681,128,205,44,6,37,106,4,2,72,133,.301,.368,.546,.915,372,17,4,2,6,2,8,.325,119,122
15,,MIL,Batting 2nd,2017,213,133.3,162,735,621,120,168,41,2,40,85,11,5,103,192,.271,.384,.536,.920,333,10,11,0,0,5,3,.329,144,133
16,,NYM,Batting 2nd,2019,225,133.1,162,747,672,121,195,34,2,48,107,4,1,58,164,.290,.358,.561,.919,377,17,14,1,2,0,9,.318,136,122
17,,LAA,Batting 2nd,2022,179,131.3,162,714,633,111,178,33,4,47,96,4,4,70,198,.281,.359,.569,.928,360,6,8,1,2,11,5,.336,167,141
18,,LAD,Batting 2nd,2018,196,130.8,163,755,644,118,179,46,2,33,86,7,0,95,135,.278,.378,.509,.887,328,11,11,1,4,5,6,.304,129,130
19,,LAD,Batting 2nd,2024,176,130.4,162,745,658,116,188,37,5,39,111,25,2,72,151,.286,.357,.535,.892,352,13,5,0,8,6,3,.313,127,134
20,,COL,Batting 2nd,2019,177,130.3,162,754,686,127,202,47,7,38,97,18,9,55,183,.294,.349,.550,.898,377,11,5,3,5,0,6,.349,128,117
