Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,STL,Batting 3rd,2003,211,198.0,162,756,655,149,237,54,1,51,142,8,1,84,77,.362,.440,.681,1.120,446,15,10,3,4,12,6,.350,176,157
2,,COL,Batting 3rd,2004,179,174.1,162,737,591,121,201,50,3,33,103,3,0,137,86,.340,.463,.602,1.065,356,14,3,0,6,18,6,.351,167,153
3,,COL,Batting 3rd,2003,180,173.6,162,727,603,139,216,51,5,34,126,1,4,114,77,.358,.457,.629,1.085,379,19,2,0,8,21,8,.364,174,151
4,,ATL,Batting 3rd,2003,212,162.7,162,749,641,136,212,44,2,40,141,19,4,92,67,.331,.417,.593,1.009,380,17,8,0,8,5,9,.317,144,133
5,,STL,Batting 3rd,2005,180,159.0,162,733,620,133,202,41,2,42,122,18,2,99,75,.326,.424,.602,1.026,373,21,9,2,3,27,3,.316,167,145
6,,STL,Batting 3rd,2004,172,158.2,162,733,627,139,203,53,2,46,127,5,5,88,60,.324,.407,.635,1.041,398,22,7,0,11,12,15,.295,156,144
7,,TEX,Batting 3rd,2003,185,155.3,162,737,626,128,189,33,6,49,122,17,3,90,129,.302,.399,.609,1.008,381,17,15,0,6,10,4,.308,155,131
8,,PHI,Batting 3rd,2004,169,150.8,162,742,600,120,177,49,1,30,107,39,6,131,120,.295,.420,.530,.950,318,7,4,0,7,11,6,.322,141,126
9,,BOS,Batting 3rd,2005,184,149.7,162,752,625,122,181,37,2,47,159,2,0,111,132,.290,.395,.581,.976,363,14,5,0,11,8,5,.293,139,132
10,,COL,Batting 3rd,2005,172,148.4,162,719,594,107,195,50,2,25,97,5,2,112,91,.328,.442,.545,.987,324,14,10,1,2,21,6,.354,165,138
11,,ATL,Batting 3rd,2004,190,144.8,162,738,602,117,175,29,6,36,105,13,3,121,135,.291,.412,.538,.950,324,9,7,2,6,4,9,.318,144,126
12,,CHC,Batting 3rd,2005,177,144.7,162,721,633,122,195,51,3,42,93,12,3,74,116,.308,.381,.597,.978,378,13,5,1,7,20,9,.317,153,132
13,,BOS,Batting 3rd,2004,213,138.3,162,763,675,112,192,53,3,46,147,3,0,74,148,.284,.356,.576,.933,389,17,6,0,8,6,6,.299,121,118
